session,root,interval,instrument,group,given_answer,correct_answer,difference,bin_difference,ascending
1,69,62,singer,groupB,-7,-7,0,True,False
1,68,57,singer,groupB,-11,-11,0,True,False
1,59,66,singer,groupB,7,7,0,True,True
1,62,56,singer,groupB,-5,-6,1,False,False
1,54,65,singer,groupB,9,11,2,False,True
1,57,64,singer,groupB,7,7,0,True,True
1,69,60,singer,groupB,-7,-9,2,False,False
1,59,68,singer,groupB,7,9,2,False,True
1,53,62,singer,groupB,7,9,2,False,True
1,55,61,singer,groupB,7,6,1,False,True
1,66,57,singer,groupB,-7,-9,2,False,False
1,68,57,singer,groupB,-11,-11,0,True,False
1,57,68,singer,groupB,9,11,2,False,True
1,61,61,singer,groupB,0,0,0,True,False
1,61,57,singer,groupB,-7,-4,3,False,False
1,61,57,singer,groupB,-4,-4,0,True,False
1,64,54,singer,groupB,-4,-10,6,False,False
1,52,62,singer,groupB,9,10,1,False,True
1,68,67,singer,groupB,-2,-1,1,False,False
1,64,54,singer,groupB,-4,-10,6,False,False
1,52,64,vocal,groupA,12,12,0,True,True
1,64,59,vocal,groupA,-2,-5,3,False,False
1,62,60,vocal,groupA,-2,-2,0,True,False
1,53,55,vocal,groupA,3,2,1,False,True
1,56,59,vocal,groupA,1,3,2,False,True
1,57,60,vocal,groupA,5,3,2,False,True
1,57,57,vocal,groupA,0,0,0,True,False
1,53,54,vocal,groupA,-2,1,3,False,True
1,61,63,vocal,groupA,3,2,1,False,True
1,52,57,vocal,groupA,5,5,0,True,True
1,59,67,vocal,groupA,8,8,0,True,True
1,64,68,vocal,groupA,7,4,3,False,True
1,61,58,vocal,groupA,-2,-3,1,False,False
1,66,58,vocal,groupA,-4,-8,4,False,False
1,56,53,vocal,groupA,-2,-3,1,False,False
1,69,57,vocal,groupA,-8,-12,4,False,False
1,57,69,vocal,groupA,12,12,0,True,True
1,52,56,vocal,groupA,7,4,3,False,True
1,61,59,vocal,groupA,-2,-2,0,True,False
1,56,64,vocal,groupA,4,8,4,False,True
2,56,66,singer,groupB,9,10,1,False,True
2,60,69,singer,groupB,10,9,1,False,True
2,69,58,singer,groupB,-11,-11,0,True,False
2,53,53,singer,groupB,0,0,0,True,False
2,58,65,singer,groupB,8,7,1,False,True
2,62,55,singer,groupB,-7,-7,0,True,False
2,68,57,singer,groupB,-8,-11,3,False,False
2,67,58,singer,groupB,-7,-9,2,False,False
2,61,57,singer,groupB,3,-4,7,False,False
2,65,55,singer,groupB,-10,-10,0,True,False
2,59,66,singer,groupB,7,7,0,True,True
2,57,66,singer,groupB,11,9,2,False,True
2,55,61,singer,groupB,5,6,1,False,True
2,63,57,singer,groupB,-4,-6,2,False,False
2,54,65,singer,groupB,8,11,3,False,True
2,57,56,singer,groupB,2,-1,3,False,False
2,67,57,singer,groupB,-11,-10,1,False,False
2,63,59,singer,groupB,-7,-4,3,False,False
2,65,56,singer,groupB,-11,-9,2,False,False
2,55,66,singer,groupB,8,11,3,False,True
2,52,55,vocal,groupA,3,3,0,True,True
2,61,58,vocal,groupA,-4,-3,1,False,False
2,55,60,vocal,groupA,4,5,1,False,True
2,57,65,vocal,groupA,9,8,1,False,True
2,67,67,vocal,groupA,0,0,0,True,False
2,59,67,vocal,groupA,12,8,4,False,True
2,52,54,vocal,groupA,1,2,1,False,True
2,67,59,vocal,groupA,-8,-8,0,True,False
2,58,62,vocal,groupA,3,4,1,False,True
2,54,56,vocal,groupA,2,2,0,True,True
2,58,56,vocal,groupA,-2,-2,0,True,False
2,58,53,vocal,groupA,-3,-5,2,False,False
2,54,66,vocal,groupA,12,12,0,True,True
2,59,57,vocal,groupA,-2,-2,0,True,False
2,57,69,vocal,groupA,11,12,1,False,True
2,64,61,vocal,groupA,-3,-3,0,True,False
2,63,64,vocal,groupA,4,1,3,False,True
2,69,57,vocal,groupA,-12,-12,0,True,False
2,62,66,vocal,groupA,9,4,5,False,True
2,65,68,vocal,groupA,5,3,2,False,True
3,67,58,singer,groupB,-7,-9,2,False,False
3,61,57,singer,groupB,-4,-4,0,True,False
3,53,64,singer,groupB,5,11,6,False,True
3,67,56,singer,groupB,-11,-11,0,True,False
3,61,57,singer,groupB,-7,-4,3,False,False
3,56,66,singer,groupB,12,10,2,False,True
3,65,54,singer,groupB,-11,-11,0,True,False
3,57,64,singer,groupB,7,7,0,True,True
3,64,54,singer,groupB,-8,-10,2,False,False
3,64,57,singer,groupB,-12,-7,5,False,False
3,58,58,singer,groupB,0,0,0,True,False
3,52,58,singer,groupB,8,6,2,False,True
3,59,68,singer,groupB,12,9,3,False,True
3,54,61,singer,groupB,7,7,0,True,True
3,68,59,singer,groupB,-10,-9,1,False,False
3,57,66,singer,groupB,9,9,0,True,True
3,53,52,singer,groupB,-3,-1,2,False,False
3,58,52,singer,groupB,-3,-6,3,False,False
3,56,67,singer,groupB,11,11,0,True,True
3,65,55,singer,groupB,-3,-10,7,False,False
3,53,58,vocal,groupA,5,5,0,True,True
3,54,58,vocal,groupA,6,4,2,False,True
3,58,55,vocal,groupA,-2,-3,1,False,False
3,58,61,vocal,groupA,4,3,1,False,True
3,60,55,vocal,groupA,-3,-5,2,False,False
3,55,57,vocal,groupA,3,2,1,False,True
3,53,65,vocal,groupA,12,12,0,True,True
3,61,63,vocal,groupA,1,2,1,False,True
3,53,61,vocal,groupA,8,8,0,True,True
3,57,54,vocal,groupA,-5,-3,2,False,False
3,55,67,vocal,groupA,12,12,0,True,True
3,68,66,vocal,groupA,-2,-2,0,True,False
